Timestamp_Assessment,pH
2016-09-05 10:40:00,5.99
2016-09-05 14:10:00,6.03
2016-09-06 09:30:00,5.65
2016-09-07 13:40:00,6.09
2016-09-08 10:45:00,7.06
2016-09-08 13:00:00,7.01
2016-09-09 10:00:00,6.0
2016-09-09 12:20:00,6.84
2016-09-09 14:10:00,5.81
2016-09-09 10:10:00,6.18
2016-09-10 11:50:00,6.58
2016-09-10 13:30:00,6.72
2016-09-10 10:40:00,6.17
2016-09-12 10:20:00,6.53
2016-09-12 12:50:00,6.46
2016-09-12 10:00:00,5.95
2016-09-13 11:35:00,6.43
2016-09-13 15:30:00,5.51
2016-09-13 09:40:00,5.92
2016-09-14 12:10:00,6.11
2016-09-14 09:50:00,6.1
2016-09-14 12:40:00,6.76
2016-09-15 10:05:00,5.14
2016-09-15 11:45:00,5.91
2016-09-15 13:20:00,6.55
2016-09-15 15:10:00,6.93
2016-09-16 09:10:00,6.0
2016-09-16 10:50:00,6.42
2016-09-16 12:15:00,6.03
2016-09-16 14:55:00,6.17
2016-09-17 09:30:00,6.08
2016-09-17 11:30:00,6.97
2016-09-17 14:05:00,6.46
2016-09-17 15:45:00,6.68
2016-09-22 09:35:00,6.7
2016-09-22 11:10:00,6.54
2016-09-22 12:50:00,6.0
2016-09-23 09:20:00,6.19
2016-09-23 11:15:00,6.82
2016-09-23 09:20:00,6.25
2016-09-24 11:00:00,7.4
2016-09-24 13:20:00,7.26
2016-09-26 12:30:00,7.03
2016-09-27 14:00:00,6.7
2016-09-27 09:35:00,6.1
2016-09-28 12:20:00,7.08
2016-09-28 14:20:00,6.22
2016-09-29 09:45:00,6.51
2016-09-29 11:30:00,6.53
2016-09-29 13:10:00,6.52
2016-09-30 09:45:00,5.68
2016-09-30 11:05:00,6.36
2016-09-30 13:30:00,6.01
2016-10-01 15:00:00,6.33
2016-10-01 09:20:00,6.79
2016-10-04 12:50:00,7.77
2016-10-04 09:55:00,6.9
2016-10-04 12:30:00,7.02
2016-10-04 14:15:00,6.98
2016-10-05 09:55:00,6.26
2016-10-05 11:35:00,6.27
2016-10-06 14:30:00,6.81
2016-10-06 10:00:00,6.79
2016-10-06 12:35:00,5.86
2016-10-14 09:45:00,7.15
2016-10-14 13:05:00,6.76
2016-10-14 09:30:00,6.45
2016-10-15 11:30:00,6.73
2016-10-15 09:30:00,6.03
2016-10-17 11:30:00,6.25
2016-10-17 14:10:00,6.6
2016-10-17 10:50:00,6.07
2016-10-18 13:40:00,6.32
2016-10-18 10:50:00,6.83
2016-10-19 13:50:00,6.76
2016-10-19 09:10:00,7.33
2016-10-19 11:50:00,6.6
2016-10-20 14:40:00,6.67
2016-10-20 09:05:00,6.88
2016-10-20 11:45:00,7.04
2016-10-21 08:50:00,7.19
2016-10-22 12:30:00,7.58
2016-10-22 14:50:00,7.22
2016-10-22 11:30:00,6.96
2016-10-24 13:27:00,7.43
2016-10-24 08:45:00,6.94
2016-10-25 12:25:00,7.33
2016-10-25 08:55:00,7.41
2016-10-26 10:40:00,6.79
2016-10-26 12:15:00,7.08
2016-10-26 08:20:00,6.68
2016-10-27 09:45:00,6.93
2016-10-27 11:20:00,6.94
2016-10-27 12:45:00,6.64
2016-11-02 15:20:00,7.69
2016-11-02 11:00:00,6.22
2016-11-02 12:40:00,6.38
2016-11-03 11:00:00,7.13
2016-11-03 13:10:00,7.07
2016-11-03 15:05:00,6.87
2016-11-04 10:05:00,6.63
2016-11-04 12:10:00,7.22
2016-11-05 09:35:00,6.97
2016-11-05 11:15:00,7.34
2016-11-07 13:15:00,6.98
2016-11-07 10:50:00,7.29
2016-11-07 12:55:00,6.62
2016-11-08 14:10:00,6.96
2016-11-08 12:55:00,6.64
2016-11-08 14:45:00,6.1
2016-11-09 11:50:00,7.13
2016-11-09 11:05:00,6.83
2016-11-10 10:47:00,7.58
2016-11-10 13:25:00,7.18
2016-11-10 15:30:00,6.87
2016-11-11 10:40:00,6.76
2016-11-11 12:00:00,6.25
2016-11-11 13:40:00,6.74
2016-11-11 14:50:00,6.23
2016-11-11 10:35:00,6.62
2016-11-12 12:35:00,7.0
2016-11-12 14:05:00,6.77
2016-11-14 15:20:00,7.23
2016-11-14 09:50:00,6.82
2016-11-14 11:45:00,6.73
2016-11-14 14:35:00,6.65
2016-11-22 08:55:00,7.12
2016-11-22 11:30:00,7.12
2016-11-22 13:40:00,6.73
2016-11-23 10:00:00,7.34
2016-11-23 11:55:00,7.22
2016-11-23 14:40:00,7.01
2016-11-25 09:47:00,7.51
2016-11-25 12:10:00,7.42
2016-11-25 13:50:00,7.05
2016-11-25 15:05:00,6.78
2016-11-28 10:28:00,7.98
2016-11-28 13:05:00,6.96
2016-11-29 14:30:00,6.79
2016-11-29 11:00:00,7.54
2016-11-30 13:21:00,7.64
2016-11-30 15:00:00,7.15
2016-11-30 08:56:00,7.65
2016-12-01 10:40:00,7.6
2016-12-01 12:25:00,7.65
2016-12-02 13:50:00,7.59
2016-12-02 09:02:00,7.39
2016-12-05 10:45:00,7.3
2016-12-05 12:30:00,7.3
2016-12-05 09:50:00,7.45
2016-12-06 12:07:00,7.65
2016-12-06 14:05:00,7.75
2016-12-07 09:50:00,7.06
2016-12-07 12:11:00,7.06
2016-12-07 15:02:00,7.43
2016-12-07 11:00:00,6.99
2016-12-08 12:25:00,7.08
2016-12-08 10:25:00,7.19
2016-12-09 12:31:00,7.02
2016-12-09 14:45:00,7.0
2016-12-09 11:55:00,6.92
2016-12-09 14:35:00,7.07
